sl_nr;messstelle_id;messstelle_sl_nr;datum_pn;stoff_nr;probengut;messergebnis_c;messergebnis_hinweis;bestimmungsgrenze;masseinheit;trennverfahren;verfahren;vor_ort
4123567;010410144;49087;1951-04-30;1121;Grundwasser;6,26000;                                                  ;;mg/l;Gesamtgehalt;; 
4123568;010410144;49087;1951-04-30;1111;Grundwasser;2,79500;                                                  ;;mg/l;Gesamtgehalt;; 
4123569;010410144;49087;1951-04-30;1123;Grundwasser;2,80400;                                                  ;;mg/l;Gesamtgehalt;; 
4123570;010410144;49087;1951-04-30;1164;Grundwasser;124,50000;                                                  ;;µg/l;Gesamtgehalt;; 
4123571;010410144;49087;1951-04-30;1161;Grundwasser;144,00000;                                                  ;;µg/l;Gesamtgehalt;; 
4123572;010410144;49087;1951-04-30;1324;Grundwasser;2,07000;                                                  ;;mg/l;Gesamtgehalt;; 
4123573;010410144;49087;1951-04-30;1327;Grundwasser;0,10200;                                                  ;;mg/l;Gesamtgehalt;; 
4123574;010410144;49087;1951-04-30;1224;Grundwasser;673,60000;                                                  ;;mg/l;Gesamtgehalt;; 
12374503;010410144;49087;1951-04-30;1244;Grundwasser;1,64999;                                                  ;;mg/l;Gesamtgehalt;; 
3396007;094160090;24635;1966-08-15;1245;Grundwasser;2,48475;                                                  ;;mg/l;Gesamtgehalt;; 
3396370;094160090;24635;1966-08-15;1331;Grundwasser;169,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363767;094160090;24635;1966-08-15;1244;Grundwasser;10,99999;                                                  ;;mg/l;Gesamtgehalt;; 
3396030;094160090;24635;1968-07-15;1245;Grundwasser;2,93652;                                                  ;;mg/l;Gesamtgehalt;; 
3396393;094160090;24635;1968-07-15;1331;Grundwasser;172,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363790;094160090;24635;1968-07-15;1244;Grundwasser;12,99997;                                                  ;;mg/l;Gesamtgehalt;; 
3395977;094160090;24635;1964-02-15;1245;Grundwasser;2,48475;                                                  ;;mg/l;Gesamtgehalt;; 
3396340;094160090;24635;1964-02-15;1331;Grundwasser;157,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363737;094160090;24635;1964-02-15;1244;Grundwasser;10,99999;                                                  ;;mg/l;Gesamtgehalt;; 
