messstelle_id,e32,e32num,n32,n32num,genau
288081316,306405,306405.0,5676385,5676385.0,1
288081328,306405,306405.0,5676385,5676385.0,1
288081419,306196,306196.0,5676175,5676175.0,1
288081511,306150,306150.0,5676045,5676045.0,1
288081614,306179,306179.0,5677012,5677012.0,1
288081717,306231,306231.0,5677238,5677238.0,1
288081810,305998,305998.0,5676747,5676747.0,1
288081912,306314,306314.0,5677578,5677578.0,1
288082011,305985,305985.0,5678038,5678038.0,1
288082114,305829,305829.0,5678116,5678116.0,1
288082126,305829,305829.0,5678116,5678116.0,1
288082217,306306,306306.0,5678722,5678722.0,1
288082310,306190,306190.0,5678966,5678966.0,1
288082412,305718,305718.0,5679514,5679514.0,1
288082515,305646,305646.0,5679597,5679597.0,1
288082618,305963,305963.0,5680242,5680242.0,1
288082710,3061xx,306150.0,56801xx,5680150.0,100
288082813,306295,306295.0,5680141,5680141.0,1
288082916,3069xx,306950.0,56800xx,5680050.0,100
288082928,306949,306949.0,5680030,5680030.0,1
288083015,307505,307505.0,5680509,5680509.0,1
288083027,307505,307505.0,5680509,5680509.0,1
288083118,307970,307970.0,5678913,5678913.0,1
288083210,303026,303026.0,5677707,5677707.0,1
288083313,303751,303751.0,5678490,5678490.0,1
288083325,303751,303751.0,5678490,5678490.0,1
288083416,303835,303835.0,5678657,5678657.0,1
288083428,303835,303835.0,5678657,5678657.0,1
288083519,303854,303854.0,5678976,5678976.0,1
288083520,303854,303854.0,5678976,5678976.0,1
288083611,303738,303738.0,5679965,5679965.0,1
288083714,304203,304203.0,5679790,5679790.0,1
288083817,302383,302383.0,5679723,5679723.0,1
288083910,301182,301182.0,5679727,5679727.0,1
288084019,301122,301122.0,5679803,5679803.0,1
288084111,300717,300717.0,5679722,5679722.0,1
288084214,300345,300345.0,5680046,5680046.0,1
288084317,299166,299166.0,5679282,5679282.0,1
288084410,298070,298070.0,5679151,5679151.0,1
288084512,298427,298427.0,5678928,5678928.0,1
288084615,297648,297648.0,5678736,5678736.0,1
288084718,297228,297228.0,5678982,5678982.0,1
288084810,297090,297090.0,5678965,5678965.0,1
288084913,309526,309526.0,5685996,5685996.0,1
288085012,310886,310886.0,5685155,5685155.0,1
288085115,309253,309253.0,5684025,5684025.0,1
288085218,309238,309238.0,5684051,5684051.0,1
288085310,309958,309958.0,5681980,5681980.0,1
288087215,326790,326790.0,5663553,5663553.0,1
288087227,326790,326790.0,5663553,5663553.0,1
288087239,326790,326790.0,5663553,5663553.0,1
288087240,326790,326790.0,5663553,5663553.0,1
288088013,321770,321770.0,5682913,5682913.0,1
288088116,326710,326710.0,5663535,5663535.0,1
288088219,326775,326775.0,5663556,5663556.0,1
288088311,326790,326790.0,5663553,5663553.0,1
288088323,326790,326790.0,5663553,5663553.0,1
288088335,326790,326790.0,5663553,5663553.0,1
288088347,326790,326790.0,5663553,5663553.0,1
288088414,326802,326802.0,5663553,5663553.0,1
288088426,326802,326802.0,5663553,5663553.0,1
288088438,326802,326802.0,5663553,5663553.0,1
